"","Education","JoiningYear","City","PaymentTier","Age","Gender","EverBenched","ExperienceInCurrentDomain","LeaveOrNot"
"1","Bachelors",2017,"Bangalore","3",34,"Male","No",0,"0"
"2","Bachelors",2013,"Pune","1",28,"Female","No",3,"1"
"3","Bachelors",2014,"New Delhi","3",38,"Female","No",2,"0"
"4","Masters",2016,"Bangalore","3",27,"Male","No",5,"1"
"6","Bachelors",2016,"Bangalore","3",22,"Male","No",0,"0"
"7","Bachelors",2015,"New Delhi","3",38,"Male","No",0,"0"
"8","Bachelors",2016,"Bangalore","3",34,"Female","No",2,"1"
"9","Bachelors",2016,"Pune","3",23,"Male","No",1,"0"
"10","Masters",2017,"New Delhi","2",37,"Male","No",2,"0"
"11","Masters",2012,"Bangalore","3",27,"Male","No",5,"1"
"12","Bachelors",2016,"Pune","3",34,"Male","No",3,"0"
"13","Bachelors",2018,"Pune","3",32,"Male","Yes",5,"1"
"15","Bachelors",2012,"Bangalore","3",37,"Male","No",4,"0"
"17","Bachelors",2014,"Bangalore","3",34,"Female","No",2,"0"
"19","Bachelors",2015,"Pune","2",30,"Female","No",0,"1"
"20","Bachelors",2016,"New Delhi","2",22,"Female","No",0,"1"
"21","Bachelors",2012,"Bangalore","3",37,"Male","No",0,"0"
"22","Masters",2017,"New Delhi","2",28,"Male","No",4,"0"
"23","Bachelors",2017,"New Delhi","2",36,"Male","No",3,"0"
"24","Bachelors",2015,"Bangalore","3",27,"Male","Yes",5,"0"
"26","Bachelors",2013,"Bangalore","3",22,"Female","Yes",0,"0"
"27","Bachelors",2016,"Bangalore","3",37,"Male","No",2,"0"
"29","Bachelors",2013,"Pune","2",31,"Female","No",2,"1"
"30","Masters",2017,"New Delhi","2",30,"Female","No",2,"0"
"31","PHD",2013,"New Delhi","3",25,"Male","No",3,"0"
"32","Bachelors",2014,"Bangalore","3",23,"Male","No",1,"0"
"33","Bachelors",2018,"Bangalore","3",26,"Male","No",4,"1"
"35","Bachelors",2017,"Pune","2",37,"Female","No",0,"1"
"36","Bachelors",2014,"Bangalore","1",30,"Female","No",3,"0"
"38","Bachelors",2018,"New Delhi","2",34,"Female","No",0,"1"
"39","Bachelors",2017,"Pune","2",29,"Female","No",2,"1"
"40","Bachelors",2014,"Pune","3",30,"Male","Yes",4,"0"
"41","Bachelors",2015,"Bangalore","3",36,"Male","No",1,"0"
"44","Bachelors",2014,"Bangalore","3",36,"Male","No",0,"0"
"47","PHD",2012,"New Delhi","3",27,"Male","No",5,"0"
"48","Masters",2013,"New Delhi","3",35,"Male","No",2,"0"
